hour,minute,day_of_week,is_holiday,demand,demand_next
0,0,6,1,90.40588831497243,85.31561193182182
0,5,6,1,85.31561193182182,90.95103425751668
0,10,6,1,90.95103425751668,88.98054530250852
0,15,6,1,88.98054530250852,96.25953046049896
0,20,6,1,96.25953046049896,82.03164007428363
0,25,6,1,82.03164007428363,93.90863105316558
0,30,6,1,93.90863105316558,91.57940328892663
0,35,6,1,91.57940328892663,93.89192371607935
0,40,6,1,93.89192371607935,88.8450500516364
0,45,6,1,88.8450500516364,91.12583544472669
0,50,6,1,91.12583544472669,88.88095053796265
0,55,6,1,88.88095053796265,102.83918021465365
1,0,6,1,102.83918021465365,103.9836701530931
1,5,6,1,103.9836701530931,96.51041877219144
1,10,6,1,96.51041877219144,93.31090643768964
1,15,6,1,93.31090643768964,98.48476952627728
1,20,6,1,98.48476952627728,95.39971828232304
1,25,6,1,95.39971828232304,83.41832917136915
1,30,6,1,83.41832917136915,94.49511036610878
1,35,6,1,94.49511036610878,106.98993103090788
1,40,6,1,106.98993103090788,94.83309758605753
1,45,6,1,94.83309758605753,99.72703163613151
1,50,6,1,99.72703163613151,95.86307437724791
1,55,6,1,95.86307437724791,100.41889572837194
2,0,6,1,100.41889572837194,99.73057815169537
2,5,6,1,99.73057815169537,96.8377307198985
2,10,6,1,96.8377307198985,104.33785876541305
2,15,6,1,104.33785876541305,110.1854067769702
2,20,6,1,110.1854067769702,100.8230622646265
2,25,6,1,100.8230622646265,100.98779766981039
2,30,6,1,100.98779766981039,106.70889644523807
2,35,6,1,106.70889644523807,101.8745548222739
2,40,6,1,101.8745548222739,103.23466348256817
2,45,6,1,103.23466348256817,109.36598434555273
2,50,6,1,109.36598434555273,93.86317796288128
2,55,6,1,93.86317796288128,100.43269635293768
3,0,6,1,100.43269635293768,104.48847888256977
3,5,6,1,104.48847888256977,105.19359479818687
3,10,6,1,105.19359479818687,104.33789176916166
3,15,6,1,104.33789176916166,103.57564706127836
3,20,6,1,103.57564706127836,108.65073346581273
3,25,6,1,108.65073346581273,105.43565820474814
3,30,6,1,105.43565820474814,105.01050875314277
3,35,6,1,105.01050875314277,106.98052926564101
3,40,6,1,106.98052926564101,105.5981817363157
3,45,6,1,105.5981817363157,104.58687905211492
3,50,6,1,104.58687905211492,107.26898848461053
3,55,6,1,107.26898848461053,114.05279922118598
4,0,6,1,114.05279922118598,107.62966468183315
4,5,6,1,107.62966468183315,108.95730458559467
4,10,6,1,108.95730458559467,105.87453597295709
4,15,6,1,105.87453597295709,110.19154418006364
4,20,6,1,110.19154418006364,110.92443130358083
4,25,6,1,110.92443130358083,110.66492716029558
4,30,6,1,110.66492716029558,104.77034111200113
4,35,6,1,104.77034111200113,110.95577142744715
4,40,6,1,110.95577142744715,104.84392029476328
4,45,6,1,104.84392029476328,107.85811098800056
4,50,6,1,107.85811098800056,93.10133857026324
4,55,6,1,93.10133857026324,103.92358107563578
5,0,6,1,103.92358107563578,107.89942360495415
5,5,6,1,107.89942360495415,110.02893816314099
5,10,6,1,110.02893816314099,101.30568995099327
5,15,6,1,101.30568995099327,115.18071652133104
5,20,6,1,115.18071652133104,106.82186591030515
5,25,6,1,106.82186591030515,114.19332656752908
5,30,6,1,114.19332656752908,113.0799246864189
5,35,6,1,113.0799246864189,104.54087827169282
5,40,6,1,104.54087827169282,106.970525248279
5,45,6,1,106.970525248279,107.24444276659104
5,50,6,1,107.24444276659104,110.13462716367228
5,55,6,1,110.13462716367228,97.05762313577023
6,0,6,1,97.05762313577023,108.03642001913893
6,5,6,1,108.03642001913893,114.15016253017077
6,10,6,1,114.15016253017077,105.32117371655951
6,15,6,1,105.32117371655951,118.28149278130712
6,20,6,1,118.28149278130712,116.02680036534221
6,25,6,1,116.02680036534221,112.59443104331135
6,30,6,1,112.59443104331135,118.4260798187052
6,35,6,1,118.4260798187052,104.305526054064
6,40,6,1,104.305526054064,115.48239904096978
6,45,6,1,115.48239904096978,108.9572621967587
6,50,6,1,108.9572621967587,101.87980994832722
6,55,6,1,101.87980994832722,105.80154962174274
7,0,6,1,105.80154962174274,107.45572927083913
7,5,6,1,107.45572927083913,105.70609414067567
7,10,6,1,105.70609414067567,106.23306866863841
7,15,6,1,106.23306866863841,108.28413969836565
7,20,6,1,108.28413969836565,108.30412959482247
7,25,6,1,108.30412959482247,112.62656338832723
7,30,6,1,112.62656338832723,109.04711428659903
7,35,6,1,109.04711428659903,107.9429837768624
7,40,6,1,107.9429837768624,109.04096426451234
7,45,6,1,109.04096426451234,109.82450032642164
7,50,6,1,109.82450032642164,108.15266716524903
7,55,6,1,108.15266716524903,108.87330982451157
8,0,6,1,108.87330982451157,96.69156472002403
8,5,6,1,96.69156472002403,115.42842018880354
8,10,6,1,115.42842018880354,115.03943603032639
8,15,6,1,115.03943603032639,108.98052288648687
8,20,6,1,108.98052288648687,110.7815195380201
8,25,6,1,110.7815195380201,98.10056415758548
8,30,6,1,98.10056415758548,108.24623649146564
8,35,6,1,108.24623649146564,104.4198043189265
8,40,6,1,104.4198043189265,102.75631317771939
8,45,6,1,102.75631317771939,104.78315588288774
8,50,6,1,104.78315588288774,102.77756350580182
8,55,6,1,102.77756350580182,105.58932399895002
9,0,6,1,105.58932399895002,107.28932402695068
9,5,6,1,107.28932402695068,104.30107623748624
9,10,6,1,104.30107623748624,96.63990229826291
9,15,6,1,96.63990229826291,105.64024361655851
9,20,6,1,105.64024361655851,99.89482661431651
9,25,6,1,99.89482661431651,97.86975245688288
9,30,6,1,97.86975245688288,95.136887882322
9,35,6,1,95.136887882322,104.42165357826805
9,40,6,1,104.42165357826805,104.43730458524945
9,45,6,1,104.43730458524945,92.81869479739746
9,50,6,1,92.81869479739746,108.5118272440672
9,55,6,1,108.5118272440672,106.91230477908746
10,0,6,1,106.91230477908746,102.29057621511886
10,5,6,1,102.29057621511886,107.45976405754531
10,10,6,1,107.45976405754531,98.8721629750859
10,15,6,1,98.8721629750859,93.1480328571621
10,20,6,1,93.1480328571621,97.2966224828008
10,25,6,1,97.2966224828008,99.2224708603972
10,30,6,1,99.2224708603972,104.10723669174905
10,35,6,1,104.10723669174905,89.72033616033738
10,40,6,1,89.72033616033738,96.51484674417567
10,45,6,1,96.51484674417567,98.55856636435692
10,50,6,1,98.55856636435692,101.39648329737301
10,55,6,1,101.39648329737301,105.28912049341947
11,0,6,1,105.28912049341947,90.41015940765347
11,5,6,1,90.41015940765347,94.72412320823904
11,10,6,1,94.72412320823904,100.81892640681201
11,15,6,1,100.81892640681201,95.10051909664843
11,20,6,1,95.10051909664843,98.61208350633859
11,25,6,1,98.61208350633859,97.24087304501263
11,30,6,1,97.24087304501263,92.41575811898122
11,35,6,1,92.41575811898122,91.82875170513128
11,40,6,1,91.82875170513128,87.77138309352027
11,45,6,1,87.77138309352027,87.63548558235306
11,50,6,1,87.63548558235306,92.25152831550491
11,55,6,1,92.25152831550491,94.12152032652956
12,0,6,1,94.12152032652956,88.52086121044368
12,5,6,1,88.52086121044368,89.70630105955195
12,10,6,1,89.70630105955195,87.73818937239011
12,15,6,1,87.73818937239011,83.76075458047097
12,20,6,1,83.76075458047097,79.81121379871661
12,25,6,1,79.81121379871661,90.33017578097605
12,30,6,1,90.33017578097605,90.24872678705104
12,35,6,1,90.24872678705104,83.24028261502413
12,40,6,1,83.24028261502413,88.45217754427033
12,45,6,1,88.45217754427033,79.35414392079731
12,50,6,1,79.35414392079731,84.92985184456545
12,55,6,1,84.92985184456545,88.37286557863516
13,0,6,1,88.37286557863516,83.98654378087939
13,5,6,1,83.98654378087939,87.58595674950526
13,10,6,1,87.58595674950526,83.13753583083809
13,15,6,1,83.13753583083809,78.18136333508866
13,20,6,1,78.18136333508866,85.49059987713733
13,25,6,1,85.49059987713733,83.08298471562735
13,30,6,1,83.08298471562735,77.65827846805968
13,35,6,1,77.65827846805968,81.94789356862049
13,40,6,1,81.94789356862049,83.94353014826434
13,45,6,1,83.94353014826434,79.78345507851019
13,50,6,1,79.78345507851019,68.43054345976228
13,55,6,1,68.43054345976228,70.34773100772844
14,0,6,1,70.34773100772844,86.23604263961212
14,5,6,1,86.23604263961212,79.00357523391506
14,10,6,1,79.00357523391506,81.18515907106057
14,15,6,1,81.18515907106057,76.19357628217364
14,20,6,1,76.19357628217364,76.168987315787
14,25,6,1,76.168987315787,75.3216511525969
14,30,6,1,75.3216511525969,68.29207710867718
14,35,6,1,68.29207710867718,78.80480471844693
14,40,6,1,78.80480471844693,82.91566801692062
14,45,6,1,82.91566801692062,72.88469392778572
14,50,6,1,72.88469392778572,68.24680766841236
14,55,6,1,68.24680766841236,80.1331695842484
15,0,6,1,80.1331695842484,78.53759267073711
15,5,6,1,78.53759267073711,75.22836217982992
15,10,6,1,75.22836217982992,72.73644612257945
15,15,6,1,72.73644612257945,75.98688741292656
15,20,6,1,75.98688741292656,73.98815305710124
15,25,6,1,73.98815305710124,68.17836130648098
15,30,6,1,68.17836130648098,67.43358329198081
15,35,6,1,67.43358329198081,80.17394637168871
15,40,6,1,80.17394637168871,71.47134707264229
15,45,6,1,71.47134707264229,70.88810342348965
15,50,6,1,70.88810342348965,73.02825428868726
15,55,6,1,73.02825428868726,74.66751082056797
16,0,6,1,74.66751082056797,71.53755322421547
16,5,6,1,71.53755322421547,70.9300375450859
16,10,6,1,70.9300375450859,68.91314245785965
16,15,6,1,68.91314245785965,73.18243325191706
16,20,6,1,73.18243325191706,74.09624972832376
16,25,6,1,74.09624972832376,64.1693349151448
16,30,6,1,64.1693349151448,68.94357859376717
16,35,6,1,68.94357859376717,71.7580372040121
16,40,6,1,71.7580372040121,70.48613809441775
16,45,6,1,70.48613809441775,70.58980306535283
16,50,6,1,70.58980306535283,73.04220497571005
16,55,6,1,73.04220497571005,63.33572382282152
17,0,6,1,63.33572382282152,75.38154135743383
17,5,6,1,75.38154135743383,73.68036911532965
17,10,6,1,73.68036911532965,61.07414558784896
17,15,6,1,61.07414558784896,63.441416195370195
17,20,6,1,63.441416195370195,70.81820499463639
17,25,6,1,70.81820499463639,65.49736280310331
